Id,Spec,System,MEC,DesignLife,Qty,UOM,NormalizedAge,Recency,PredictedCI,ActualScore,CRV,Fac,AssetAge,AssetDesignLife,PrevScore
60,2855,4,44,20,2.00,Each,0.60,,50.0,80,8858,91,52,55,
61,2212,10,145,20,1.00,Each,0.05,,94.4,88,17569,103,10,40,
62,2205,5,54,40,24494.00,Square Feet,0.05,,98.2,95,288049,103,2,40,
62,2205,5,54,40,24494.00,Square Feet,0.15,4.00,84.5,88,288049,103,6,40,95
63,2380,10,144,25,1.00,Each,0.64,,56.1,88,8055,75,16,45,
64,1686,4,34,20,86.00,Square Feet,1.00,,8.7,95,520,70,56,45,
64,1686,4,34,20,86.00,Square Feet,1.10,2.00,90.4,80,520,70,58,45,95
64,1686,4,34,20,86.00,Square Feet,1.20,2.00,69.4,71,520,70,60,45,80
64,1686,4,34,20,86.00,Square Feet,1.35,3.00,51.8,71,520,70,63,45,71
65,2030,8,99,20,4800.00,Square Feet,0.75,,35.3,88,16919,75,15,45,
66,568,5,56,20,10296.00,Square Feet,0.25,,82.8,95,81946,35,5,50,
67,1021,8,118,20,757.00,Square Feet,0.90,,19.2,88,4388,109,18,45,
68,1571,13,218,20,1.00,Each,0.25,,92.2,95,1558,167,45,55,
69,38,6,78,20,3.00,Each,1.70,,0.3,71,3765,27,34,50,
69,38,6,78,20,3.00,Each,1.85,3.00,52.0,61,3765,27,37,50,71
70,33,11,186,25,1.00,Each,0.68,,43.9,88,39121,92,17,55,
71,1077,8,118,125,2475.00,Square Feet,0.41,,89.6,88,4557,58,63,55,
72,1244,4,33,15,32.00,Linear Feet,0.67,,33.7,50,7068,41,63,50,
73,2313,1,9,100,2450.00,Square Feet,0.30,,94.0,88,68160,67,62,55,
74,2333,10,139,25,1.00,Each,0.20,,92.2,88,4931,43,80,50,
75,142,4,28,30,2960.00,Square Feet,0.63,,53.4,95,60357,19,19,50,
75,142,4,28,30,2960.00,Square Feet,0.77,4.00,88.8,88,60357,19,23,50,95
